intersection,lon,lat
28 STREET and BROADWAY,-73.9887679,40.7452981
CLINTON STREET and HENRY STREET,-73.9870672,40.7135879
AVENUE C and EAST 10 STREET,-73.9775424,40.7258346
EAST 97 STREET and FDR DRIVE EAST SERVICE ROAD,-73.9751248,40.7354336
MACDOUGAL STREET and WASHINGTON SQUARE PARK,-73.998633,40.7321969
BLEECKER STREET and MINETTA LANE,-74.0021092,40.7296135
SIXTH AVENUE and SPRING STREET,-74.0040538,40.7254954
SIXTH AVENUE and WEST HOUSTON STREET,-74.0029315,40.7281848
EAST 34 STREET and FDR DRIVE SERVICE ROAD EAST,-73.9720336,40.7431562
37 STREET and 8 AVENUE,-73.992079,40.754091
5 AVENUE and 71 STREET,-73.9675204,40.771767
1 AVENUE and 59 STREET,-73.9619909,40.7596286
EAST 58 STREET and QUEENSBOROUGH BRIDGE,-73.9618383,40.7598947
EAST 59 STREET and QUEENSBORO BRIDGE,-73.9607109,40.7595254
68 STREET and BROADWAY,-73.9822674,40.7755238
MOUNT MORRIS PARK and WEST 123 STREET,-73.9447774,40.8057827
MORNINGSIDE DRIVE and WEST 127 STREET,-73.9531521,40.8127151
2 AVENUE and 97 STREET TRANSVERSE,-73.9552791,40.7885802
EAST 96 STREET and TRANSVERSE ROAD,-73.955752,40.7879123
SAINT NICHOLAS TERRACE and WEST 138 STREET,-73.947025,40.8192271
HENRY HUDSON PARKWAY and RIVERSIDE DRIVE,-73.945014,40.8472147
BROADWAY and WEST 225 STREET,-73.909712,40.8746815
BROADWAY and WEST 225 STREET,-73.909712,40.8746815
FULTON STREET and GOLD STREET,-74.0054976,40.7090989
8 AVENUE and HARLEM RIVER DRIVE,-73.9352573,40.8307124
MAIN STREET and ROOSEVELT ISLAND BRIDGE,-73.9476803,40.7641352
RIVERSIDE DRIVE and WEST 69 STREET,-73.9883513,40.7788789
BANK STREET and WALL STREET,-74.0750242,40.6452668
GRANT AVENUE and VANDUZER STREET,-74.076537,40.6334609
HIGHLAND ROAD and VICTORY BOULEVARD,-74.0996998,40.6196418
CLOVE ROAD and MILFORD AVENUE,-74.0975036,40.6102477
HAMILTON STREET and STUYVESANT PLACE,-74.0784117,40.645197
STUYVESANT AVENUE and WALL STREET,-74.0777856,40.6440787
CORNELL AVENUE and DECKER AVENUE,-74.138064,40.6275679
POST AVENUE and SIMONSON AVENUE,-74.131917,40.631614
LISK AVENUE and SELVIN LOOP,-74.1623757,40.6223943
MORNINGSTAR ROAD and WALKER AVENUE,-74.1469099,40.631156
LONG POND LANE and SKYLINE DRIVE,-74.0814474,40.6125893
NARROWS ROAD and TARGEE STREET,-74.0883949,40.6087178
NARROWS ROAD and NECKAR AVENUE,-74.085139,40.6074651
ANDERSON AVENUE and CLIFTON AVENUE,-74.0686098,40.6141653
CLEVELAND PLACE and WEST FINGERBOARD ROAD,-74.0695129,40.6030311
FINGERBOARD ROAD and VERRAZANO BRIDGE,-74.0662179,40.6043531
GWENN LOOP and ROCKLAND AVENUE,-74.1441447,40.5886109
RICHMOND TERRACE and TYSENS LANE,-74.1319374,40.5737364
CRESCENT BEACH and TENNYSON DRIVE,-74.1454602,40.5370923
AMBOY ROAD and SHERWOOD AVENUE,-74.1543506,40.5488075
FOSTER AVENUE and RENSSELAER AVENUE,-74.2056236,40.537831
NORTH BRIDGE STREET and PAGE AVENUE,-74.2348148,40.5243087
ARTHUR KILL ROAD and EAST SERVICE ROAD,-74.2070612,40.5575094
ANNADALE ROAD and ARTHUR KILL,-74.1775407,40.5637616
AMSTERDAM AVENUE and RICHMOND AVENUE,-74.1630262,40.6004374
ADA DRIVE and ARLENE STREET,-74.1592262,40.620634
MARTLING AVENUE and SLOSSON TERRACE,-74.119669,40.6217247
RICHMOND HILL ROAD and SATURN LANE,-74.1581449,40.5836307
BEECHWOOD AVENUE and STURGES STREET,-74.1208238,40.6162175
VICTORY BOULEVARD and WEST SERVICE ROAD,-74.1940195,40.5897293
ESSEX DRIVE and WESTPORT STREET,-74.1576264,40.5822088
EAST 140 STREET and PARK AVENUE,-73.9281571,40.8139793
MOUNT EDEN PARKWAY and TOWNSEND AVENUE,-73.9138472,40.8439856
CLIFFORD AVENUE and JEROME AVENUE,-73.9131395,40.8466038
DAVIDSON AVENUE and EAST 177 STREET,-73.9116154,40.8501423
BRUCKNER EXPRESSWAY and CYPRESS AVENUE,-73.9158532,40.8036996
EAST 146 STREET and THIRD AVENUE,-73.92046,40.8145563
CROSS BRONX EXPRESSWAY SVC RD S and WASHINGTON,-73.8996985,40.8440871
CROSS BRONX EXPRESSWAY SVC RD S and WASHINGTON,-73.8996985,40.8440871
CROSS BX EXPRESSWAY and WEBSTER AVENUE,-73.9033848,40.8445188
CROSS BRONX EXPRESSWAY SVC RD S and WEBSTER AVENUE,-73.9033848,40.8445188
